country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths
Brazil,TO,Araguanã,1702158,0,2,0.00000,34.91011,0.00000,MS,2020-05-29,1,0
Brazil,GO,Araguapaz,5202155,1,1,12.87001,12.87001,1.00000,SES,2020-05-29,-1,0
Brazil,MG,Araguari,3103504,1,21,0.85275,17.90785,0.04762,SES,2020-05-29,0,0
Brazil,TO,Araguatins,1702208,10,63,27.96342,176.16957,0.15873,MS,2020-05-29,3,1
Brazil,TO,Araguaçu,1702000,1,2,11.74122,23.48245,0.50000,MS,2020-05-29,0,0
Brazil,TO,Araguaína,1702109,18,1517,9.97396,840.58292,0.01187,MS,2020-05-29,125,1
Brazil,MA,Araioses,2100907,2,109,4.30663,234.71146,0.01835,MS,2020-05-29,0,0
Brazil,MA,Arame,2100956,0,39,0.00000,119.26241,0.00000,MS,2020-05-29,0,0
Brazil,SP,Arandu,3503109,2,10,31.46138,157.30691,0.20000,SES,2020-05-29,0,0
Brazil,MG,Arantina,3103603,0,2,0.00000,71.55635,0.00000,SES,2020-05-29,0,0
Brazil,AL,Arapiraca,2700300,11,323,4.74656,139.37613,0.03406,SES,2020-05-29,1,0
Brazil,TO,Arapoema,1702307,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PR,Arapongas,4101507,1,21,0.81283,17.06942,0.04762,SES,2020-05-29,0,0
Brazil,MG,Araporã,3103751,0,2,0.00000,29.11632,0.00000,SES,2020-05-29,0,0
Brazil,SC,Araquari,4201307,0,26,0.00000,68.18957,0.00000,MS,2020-05-29,0,0
Brazil,PB,Arara,2500908,0,13,0.00000,96.51076,0.00000,MS,2020-05-29,5,0
Brazil,SC,Araranguá,4201406,2,62,2.93135,90.87178,0.03226,MS,2020-05-29,0,0
Brazil,SP,Araraquara,3503208,4,217,1.69440,91.92111,0.01843,SES,2020-05-29,6,0
Brazil,SP,Araras,3503307,3,102,2.23487,75.98558,0.02941,SES,2020-05-29,7,0
Brazil,CE,Ararendá,2301257,1,2,9.14495,18.28989,0.50000,MS,2020-05-29,0,0
Brazil,MA,Arari,2101004,2,54,6.70062,180.91664,0.03704,MS,2020-05-29,0,0
Brazil,CE,Araripe,2301307,0,2,0.00000,9.25926,0.00000,MS,2020-05-29,0,0
Brazil,PE,Araripina,2601102,3,39,3.55374,46.19868,0.07692,SES,2020-05-29,0,0
Brazil,RJ,Araruama,3300209,26,109,19.63746,82.32628,0.23853,MS,2020-05-29,2,1
Brazil,PB,Araruna,2501005,0,2,0.00000,9.84640,0.00000,MS,2020-05-29,0,0
Brazil,PR,Araruna,4101705,1,16,7.15820,114.53114,0.06250,SES,2020-05-29,0,0
Brazil,BA,Arataca,2902252,0,2,0.00000,18.15047,0.00000,MS,2020-05-29,0,0
Brazil,CE,Aratuba,2301406,0,12,0.00000,101.29147,0.00000,MS,2020-05-29,0,0
Brazil,BA,Aratuípe,2902302,0,1,0.00000,11.33144,0.00000,MS,2020-05-29,0,0
Brazil,PR,Araucária,4101804,0,58,0.00000,40.32174,0.00000,SES,2020-05-29,2,0
Brazil,SE,Arauá,2800407,3,4,29.83294,39.77725,0.75000,MS,2020-05-29,0,0
Brazil,MG,Araxá,3104007,2,107,1.88273,100.72579,0.01869,SES,2020-05-29,16,0
Brazil,PB,Araçagi,2500809,0,27,0.00000,158.94508,0.00000,MS,2020-05-29,3,0
Brazil,SP,Araçariguama,3502754,1,12,4.47147,53.65766,0.08333,SES,2020-05-29,0,0
Brazil,BA,Araças,2902054,0,1,0.00000,8.21220,0.00000,MS,2020-05-29,0,0
Brazil,SP,Araçatuba,3502804,4,154,2.03029,78.16624,0.02597,SES,2020-05-29,3,0
Brazil,SP,Araçoiaba da Serra,3502903,1,38,2.92860,111.28683,0.02632,SES,2020-05-29,0,0
Brazil,PE,Araçoiaba,2601052,3,29,14.61703,141.29799,0.10345,SES,2020-05-29,0,0
Brazil,GO,Araçu,5201603,0,0,0.00000,0.00000,0.00000,SES,2020-05-29,0,0
Brazil,MG,Araçuaí,3103405,0,2,0.00000,5.44840,0.00000,SES,2020-05-29,0,0
Brazil,MG,Arceburgo,3104106,0,5,0.00000,46.41664,0.00000,SES,2020-05-29,0,0
Brazil,MG,Arcos,3104205,0,13,0.00000,32.42542,0.00000,SES,2020-05-29,0,0
Brazil,PE,Arcoverde,2601201,12,97,16.14248,130.48508,0.12371,SES,2020-05-29,0,0
Brazil,RJ,Areal,3300225,0,14,0.00000,111.35857,0.00000,MS,2020-05-29,0,0
Brazil,SP,Arealva,3503406,0,1,0.00000,11.68224,0.00000,SES,2020-05-29,0,0
Brazil,RN,Areia Branca,2401107,16,198,57.60783,712.89695,0.08081,MS,2020-05-29,0,0
Brazil,SE,Areia Branca,2800506,0,41,0.00000,221.11962,0.00000,MS,2020-05-29,2,0
Brazil,PB,Areia de Baraúnas,2501153,0,1,0.00000,46.99248,0.00000,MS,2020-05-29,0,0
Brazil,PB,Areia,2501104,1,50,4.38231,219.11565,0.02000,MS,2020-05-29,7,0
Brazil,PB,Areial,2501203,0,8,0.00000,114.31838,0.00000,MS,2020-05-29,0,0
